procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 279424 235940  77728 1731000    2   23   260   376  498  843 14  4 81  1  0
 1  0 279424 147236  77728 1731000    0    0     0     0  465  571  4  2 95  0  0
 0  0 279424 147532  77732 1730996    0    0     0   196  433  604  3  2 95  1  0
 0  0 279424 147320  77732 1731000    0    0     0     0  526  718  3  3 94  0  0
 1  0 279424 147360  77732 1731000    0    0     0     0  401  486  2  2 96  0  0
 0  0 279424 147152  77732 1731000    0    0     0     0  505  684  3  2 95  0  0
 0  0 279424 147192  77732 1731000    0    0     0     0  477  572  3  2 95  0  0
 1  0 279424 147236  77732 1731000    0    0     0     0  329  466  2  2 97  0  0
 4  0 279424 147028  77740 1730992    0    0     0    68  457  602  3  3 95  1  0
 0  0 279424 147068  77740 1731000    0    0     0     0  435  556  2  2 97  0  0
 1  0 279424 147108  77740 1731000    0    0     0     0  403  527  3  2 96  0  0
 0  0 279424 250108  77740 1731000    0    0     0     0  420  511  3  2 96  0  0
 1  0 279424 249856  77740 1731000    0    0     0     0  363  493  1  1 99  0  0
 3  0 279424 249608  77748 1731000    0    0     0    36  476  558  2  1 96  1  0
 0  0 279424 249608  77748 1731000    0    0     0     4  351  504  1  1 99  0  0
 0  0 279424 249608  77752 1731000    0    0     0   144  375  545  1  1 98  1  0
 3  0 279424 249356  77752 1731000    0    0     0     0  379  479  2  1 98  0  0
 0  0 279424 249356  77752 1731000    0    0     0     0  368  520  1  1 98  0  0
 0  0 279424 249356  77776 1731000    0    0     0   156  514  643  2  2 95  1  0
 0  0 279424 249356  77776 1731000    0    0     0     0  318  441  1  0 99  0  0
 0  0 279424 249104  77776 1731000    0    0     0     0  347  510  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 279424 249104  77776 1731000    0    0     0     0  338  494  2  1 98  0  0
 0  0 279424 249860  77780 1731000    0    0     0    44  674  604  6  1 93  0  0
 0  0 279424 249860  77780 1731000    0    0     0     0  423  543  2  1 98  0  0
 0  0 279424 249860  77780 1731000    0    0     0     0  367  461  2  1 98  0  0
 0  0 279424 249860  77780 1731000    0    0     0     0  357  508  1  1 98  0  0
 0  0 279424 239176  77780 1733316  128    0   136     0 1695 2691  9  4 87  1  0
 1  0 279424 234892  77784 1733436  136    0   136    88  795  879  4  2 94  0  0
 1  0 279424 232120  77784 1733316  280    0   284     0  574  609  2  2 96  0  0
 1  0 279424 232120  77784 1733316    0    0     0     0  316  475  1  0 99  0  0
 1  0 279424 232372  77784 1733316    0    0     0     0  308  445  1  1 98  0  0
 0  0 279424 232372  77784 1733316    0    0     0     0  393  585  2  1 98  0  0
 0  0 279424 232372  77784 1733316    0    0     0     0  681 1182  2  1 97  0  0
 1  0 279424 232372  77792 1733316    0    0     0    20  527  752  2  1 96  0  0
 0  0 279424 232624  77792 1733316    0    0     0     0  520  758  2  1 97  0  0
 0  0 279424 232624  77792 1733316    0    0     0    16  540  880  2  1 98  0  0
 0  0 279424 232624  77792 1733316    0    0     0     0  608 1000  2  1 97  0  0
 0  0 279424 232624  77792 1733316    0    0     0     0  616 1013  3  1 96  0  0
 0  0 279424 228088  77808 1742640    0    0     0    88 1374 2430  8  3 88  1  0
 1  0 279424 228088  77808 1744332    0    0     0     0 1286 2175  9  3 88  0  0
 1  0 279424 228088  77808 1737524    0    0     0     0 1407 3037  4  2 94  0  0
 0  0 279424 228088  77828 1737524    0    0     0   108  486  627  3  1 95  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 279424 226840  77828 1744524    0    0     0     0 1714 3213 10  3 87  0  0
 0  0 279424 221048  77828 1756068    0    0     0     0 2124 3974 23  5 72  0  0
 1  0 279424 221804  77832 1749580    0    0     0   172 2431 4508 25  3 72  0  0
 0  0 279424 221552  77832 1749584    0    0     0     8 2306 3824 34  5 61  0  0
 0  0 279424 220292  77840 1749584    0    0     0    32 1969 3120 30  5 65  0  0
 0  0 279424 219788  77840 1749584    0    0     0   328  994 1327 10  2 87  0  0
 1  0 279424 227600  77864 1742764    0    0     0   188  577  789  2  1 97  1  0
 0  0 279424 227600  77880 1741688    0    0     0   380  617  783  2  1 96  1  0
 0  0 279424 227600  77880 1744656    0    0     0     0 1616 2698 10  4 86  0  0
 0  0 279424 228356  77880 1735240    0    0     0     0  397  515  1  1 98  0  0
 0  0 279424 228356  77880 1735240    0    0     0     0  318  503  1  0 99  0  0
 0  0 279424 228356  77888 1735240    0    0     0   248  444  578  1  1 98  0  0
 5  0 279424 227600  77888 1743584    0    0     0     0 1092 1937 10  2 88  0  0
 0  0 279424 226868  77888 1743264    0    0     0     0 2196 4140 20  4 76  0  0
 0  0 279424 226616  77932 1743428  264    0  2244     0 1587 2272 15  4 81  1  0
 1  0 279424 227336  77932 1753832    0    0     0     0 1790 3064 13  4 84  0  0
 0  0 279424 227164  77936 1748140    0    0     0    60 1876 3250 23  6 71  0  0
 2  0 279424 226912  77936 1748144    0    0     0   100  943 1739  6  1 93  0  0
 0  0 279424 227408  77936 1746676    0    0     0     0  694 1112  3  1 96  0  0
 0  0 279424 227668  77936 1746608    0    0     0     0  503  806  3  1 96  0  0
 0  0 279424 229684  77936 1743152    0    0     0     0  514  763  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 279424 233212  77936 1740272    0    0     0     0  564  902  2  0 98  0  0
 1  0 279424 233212  77936 1740900    0    0   628     4  569  765  1  1 98  0  0
 0  0 279424 234976  77948 1741124    4    0   232    60  630  882  3  2 94  1  0
 1  0 279424 234976  77948 1741124    0    0     0     0  518  737  3  1 96  0  0
 0  0 279424 234724  78180 1741276    0    0   380     0  619 1002  3  1 95  1  0
 1  0 279424 267492  78180 1705596    0    0     0     0  551  892  2  2 96  0  0
 0  0 279424 272028  78180 1705596    0    0     0     0  405  610  2  0 97  0  0
 0  0 279424 272028  78188 1705596    0    0     0   144  463  728  1  1 98  1  0
 0  0 279424 272028  78188 1705596    0    0     0     0  417  675  1  0 99  0  0
 0  0 279424 271776  78188 1705648    0    0    52     4  465  713  2  0 98  0  0
 0  0 279424 269508  78196 1707140   52    0  1544    12  915 1267  3  1 96  1  0
 0  0 278656 267492  78196 1707140    0    0     0     0  519  784  3  1 96  0  0
 0  0 278656 266752  78204 1707140    0    0     0   488  543  771  4  1 94  1  0
 0  0 278656 262216  78204 1707140    0    0     0     4  556  934  2  1 97  0  0
 3  0 278656 259192  78204 1707144   36    0    36     0  611  823  5  1 94  0  0
 0  0 278656 256672  78204 1707140    8    0     8     0 1294 1401  6  1 93  0  0
 0  0 278656 256672  78212 1707140    0    0     0    88  956 1705  5  2 93  0  0
 0  0 278656 256672  78228 1707140    0    0     0   504 1237 2219  5  3 91  1  0
 5  0 278656 256672  78228 1711748    0    0     0     0 1321 2305 11  2 88  0  0
 0  0 278656 257176  78228 1712516    0    0     0     0 1590 2911 20  2 78  0  0
 1  0 278656 257176  78228 1712516    0    0     0     0  704 1054  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 278656 247432  78228 1715908    0    0     0     0 1742 2690 20  4 76  0  0
 2  0 278656 245668  78232 1716916    0    0    12   124 1908 2338 20  3 77  0  0
 2  0 278656 245416  78232 1715408    0    0     0    72 1452 2329 13  3 85  0  0
 0  0 278656 245416  78232 1714664    0    0    12     4  992 1501  9  3 88  0  0
 0  0 278656 241384  78236 1714688    0    0    12    76 1294 2118 13  4 84  0  0
 0  0 278656 235084  78244 1712516    0    0     0    36 1605 2533 24  4 71  0  0
 1  0 278656 235084  78244 1712448    0    0     4     0 1222 2284 15  3 82  0  0
 2  0 278656 235084  78244 1713060    0    0    36     0 2252 3811 27  5 68  0  0
 1  1 278656 235084  78252 1713064    0    0     0    56  874 1377  8  1 90  0  0
 0  0 278656 235084  78252 1713064    0    0     0     0  918 1494 11  2 87  0  0
 1  0 278656 238388  78252 1712768    0    0     0     0 1711 2601 20  3 76  0  0
 7  0 278656 237912  78260 1712792    0    0    12    48 1992 3542 19  4 77  0  0
 1  0 278656 237912  78260 1713896  152    0  1327     0 1228 1979  9  2 88  1  0
 0  0 278656 234636  78260 1715932    0    0     0     0  807 1347  6  1 93  0  0
 0  0 278656 234636  78280 1715956    0    0    12   468  780 1148  6  1 92  0  0
 2  0 278656 226076  78304 1714340    0    0    24   352 1722 3003 16  4 79  1  0
 3  0 278656 241836  78336 1714340    0    0     0   200 1137 2181 10  3 85  2  0
 1  0 278656 247560  78416 1713852    0    0    12   492 3992 8495 29  6 63  2  0
 1  0 278656 247560  78416 1712844    0    0     0     0 1083 1707 12  3 85  0  0
 0  0 278656 241764  78436 1712844    0    0     0   216 1393 2274 13  4 83  1  0
 1  0 278656 254740  78444 1712864    0    0    12    64  832 1258  8  3 89  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 278656 240896  78444 1716648    0    0     0   240 1728 3214 24  4 71  0  0
 3  0 278656 240644  78444 1716816    0    0    12     0  813 1294 10  2 88  0  0
 0  0 278656 240392  78448 1716812    0    0     8    60 1965 1602 19  2 79  0  0
 0  0 278656 238124  78448 1715572    0    0     0     4 1718 2884 21  4 75  0  0
